"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"1114","ENSMUSG00000053465",-1.03905272791422,1.7897032835781,0.00063689060355928,"Hs6st3","heparan sulfate 6-O-sulfotransferase 3","50787","GO:0008146","sulfotransferase activity"
"1092","ENSMUSG00000052446",-1.10596393822507,2.44618512624145,0.00938691901751987,"Zfp961","zinc finger protein 961","234413","GO:0003674","molecular_function"
"1085","ENSMUSG00000051951",-1.41453926728852,3.31297300220784,3.57053239624755e-08,"Xkr4","X-linked Kx blood group related 4","497097","GO:0003674","molecular_function"
"1040","ENSMUSG00000049148",-1.13105362006179,2.1375777295351,0.0104638620221092,"Plcxd3","phosphatidylinositol-specific phospholipase C, X domain containing 3","239318","GO:0003674","molecular_function"
"1013","ENSMUSG00000047793",-1.11365108621559,3.71737136180455,8.70998394794073e-06,"Sned1","sushi, nidogen and EGF-like domains 1","208777","GO:0005509","calcium ion binding"
"1011","ENSMUSG00000047773",-1.46349096023317,2.31879614924187,5.83887931792441e-07,"Ankfn1","ankyrin-repeat and fibronectin type III domain containing 1","382543","GO:0001662","behavioral fear response"
"979","ENSMUSG00000045991",-1.02030557679971,1.77677917928812,5.86333234882884e-07,"Onecut2","one cut domain, family member 2","225631","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"930","ENSMUSG00000043301",-1.1935327502478,1.95356356374516,3.2160777783149e-07,"Kcnj6","potassium inwardly-rectifying channel, subfamily J, member 6","16522","GO:0001965","G-protein alpha-subunit binding"
"894","ENSMUSG00000041710",-1.47902394008416,2.84322307406212,3.10420612084804e-06,"Trpc5","transient receptor potential cation channel, subfamily C, member 5","22067","GO:0003779","actin binding"
"891","ENSMUSG00000041624",-1.54808209207836,2.03182539664283,1.0805153518069e-09,"Gucy1a2","guanylate cyclase 1, soluble, alpha 2","234889","GO:0004383","guanylate cyclase activity"
"837","ENSMUSG00000040187",-1.482935655491,0.68812367245227,6.69146936377942e-07,"Arntl2","aryl hydrocarbon receptor nuclear translocator-like 2","272322","GO:0000982","transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding"
"815","ENSMUSG00000039704",-1.19640773139078,4.46360078636167,0.00267357650077469,"Lmbrd2","LMBR1 domain containing 2","320506","GO:0003674","molecular_function"
"763","ENSMUSG00000038048",-1.26070667839119,1.40494603523085,8.36069401783414e-07,"Cntnap5c","contactin associated protein-like 5C","620292","GO:0007155","cell adhesion"
"734","ENSMUSG00000037341",-1.12318356729295,4.41084584990462,0.000188767846987948,"Slc9a7","solute carrier family 9 (sodium/hydrogen exchanger), member 7","236727","GO:0005768","endosome"
"718","ENSMUSG00000036800",-1.54944255430771,4.30827340382899,1.37891849551287e-05,"Fam135b","family with sequence similarity 135, member B","70363","GO:0005575","cellular_component"
"684","ENSMUSG00000035576",-1.27313447960662,1.72072074251035,1.99584268122243e-08,"L3mbtl1","l(3)mbt-like (Drosophila)","241764","GO:0000785","chromatin"
"674","ENSMUSG00000035236",-1.08886391690856,4.24052429887109,3.40440523936651e-05,"Scai","suppressor of cancer cell invasion","320271","GO:0003714","transcription corepressor activity"
"641","ENSMUSG00000034402",-1.22305192348962,2.79351762292388,8.10486869464786e-10,"Kcnh5","potassium voltage-gated channel, subfamily H (eag-related), member 5","238271","GO:0000155","phosphorelay sensor kinase activity"
"530","ENSMUSG00000031189",-1.15403709549206,3.53970427895036,0.000109001728496053,"Aff2","AF4/FMR2 family, member 2","14266","GO:0002151","G-quadruplex RNA binding"
"449","ENSMUSG00000028438",-1.08756371089553,1.10531855152212,2.45743698564571e-05,"Kif24","kinesin family member 24","109242","GO:0000166","nucleotide binding"
"421","ENSMUSG00000027966",-1.36303345602885,2.9053750731817,3.01379707975469e-13,"Col11a1","collagen, type XI, alpha 1","12814","GO:0001502","cartilage condensation"
"397","ENSMUSG00000027175",-1.21336828048764,5.46934920483158,1.97208978185923e-07,"Tcp11l1","t-complex 11 like 1","320554","GO:0003674","molecular_function"
"385","ENSMUSG00000026822",-1.65764590773523,1.04281734725899,0.025643204807813,"Lcn2","lipocalin 2","16819","GO:0002020","protease binding"
"369","ENSMUSG00000026141",-1.02397940271061,1.3703183600489,0.000569781009302238,"Col19a1","collagen, type XIX, alpha 1","12823","GO:0005576","extracellular region"
"340","ENSMUSG00000025270",1.18093167904851,3.89661262214925,4.20717604790151e-06,"Alas2","aminolevulinic acid synthase 2, erythroid","11656","GO:0001666","response to hypoxia"
"270","ENSMUSG00000022829",-1.31032597354918,4.21402828862278,9.8813342651386e-05,"Stxbp5l","syntaxin binding protein 5-like","207227","GO:0005096","GTPase activator activity"
"264","ENSMUSG00000022762",-1.2293163145207,5.22479018945737,6.62370552882769e-06,"Ncam2","neural cell adhesion molecule 2","17968","GO:0005886","plasma membrane"
"214","ENSMUSG00000021268",-1.29103906089354,9.12087957579264,1.71588785044926e-07,"Meg3","maternally expressed 3","17263","GO:0001701","in utero embryonic development"
"191","ENSMUSG00000020674",-1.35355385733901,4.74328735431694,1.86087933087069e-15,"Pxdn","peroxidasin","69675","GO:0004601","peroxidase activity"
"119","ENSMUSG00000016493",-1.26439215314943,1.30718770987025,1.96555745564643e-07,"Cd46","CD46 antigen, complement regulatory protein","17221","GO:0001669","acrosomal vesicle"
"116","ENSMUSG00000016150",-1.35298627345042,4.10623659389242,2.32540906816404e-07,"Tenm1","teneurin transmembrane protein 1","23963","GO:0005576","extracellular region"
"112","ENSMUSG00000015829",-1.05060045399827,6.17911947121169,4.6466126919165e-11,"Tnr","tenascin R","21960","GO:0005178","integrin binding"
"82","ENSMUSG00000007653",-1.32172609045203,4.53357922532759,0.000291188969729859,"Gabrb2","gamma-aminobutyric acid (GABA) A receptor, subunit beta 2","14401","GO:0004890","GABA-A receptor activity"
"3","ENSMUSG00000000263",-1.59824077116672,6.09204082965931,9.08060992655213e-06,"Glra1","glycine receptor, alpha 1 subunit","14654","GO:0001508","action potential"
