"","logFC","logCPM","PValue","symbol","name","entrez"
"ENSMUSG00000000938",3.47553164121013,3.00842423835217,2.71588620117058e-05,"Hoxa10","homeobox A10","15395"
"ENSMUSG00000000958",1.88388507842241,1.82802192581614,6.88957178602121e-26,"Slc7a7","solute carrier family 7 (cationic amino acid transporter, y+ system), member 7","20540"
"ENSMUSG00000000982",4.03819860316479,0.834055989118868,8.59549842559428e-15,"Ccl3","chemokine (C-C motif) ligand 3","20302"
"ENSMUSG00000001025",2.37252410876339,6.74882144461999,1.42644884818449e-122,"S100a6","S100 calcium binding protein A6 (calcyclin)","20200"
"ENSMUSG00000001089",-1.00067840546265,7.41400406574343,3.79131315912788e-21,"Luzp1","leucine zipper protein 1","269593"
"ENSMUSG00000001123",1.45991748018385,4.62736063282698,1.4302901992806e-23,"Lgals9","lectin, galactose binding, soluble 9","16859"
"ENSMUSG00000001131",4.13266260731425,3.21068073417968,2.63265146518231e-83,"Timp1","tissue inhibitor of metalloproteinase 1","21857"
"ENSMUSG00000001467",-1.52622972589341,6.88898157555796,2.80644251147544e-20,"Cyp51","cytochrome P450, family 51","13121"
"ENSMUSG00000001506",-1.12831374101309,4.65720140419752,0.00932277308882901,"Col1a1","collagen, type I, alpha 1","12842"
"ENSMUSG00000001555",1.21140222883132,2.44819791573685,1.82595642487072e-11,"Fkbp10","FK506 binding protein 10","14230"
"ENSMUSG00000001566",-1.72141935627104,1.00684384302471,2.90049015031376e-12,"Mnx1","motor neuron and pancreas homeobox 1","15285"
"ENSMUSG00000001751",1.39721570310033,3.82903184557932,1.01325974020749e-29,"Naglu","alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)","27419"
"ENSMUSG00000001768",1.56424919303249,6.43105770640982,2.17024673197242e-23,"Rin2","Ras and Rab interactor 2","74030"
"ENSMUSG00000001864",-1.17686696051865,4.24358176031415,2.44029475133721e-09,"Aif1l","allograft inflammatory factor 1-like","108897"
"ENSMUSG00000002083",1.30938110372431,2.28769879209149,5.90177164266538e-11,"Bbc3","BCL2 binding component 3","170770"
"ENSMUSG00000002100",-1.38731589667761,1.66914915255653,9.95222064794822e-12,"Mybpc3","myosin binding protein C, cardiac","17868"
"ENSMUSG00000002111",2.033403332582,3.50376170596023,8.09685832312501e-38,"Spi1","spleen focus forming virus (SFFV) proviral integration oncogene","20375"
"ENSMUSG00000002249",1.41870786278865,2.52901342062868,4.10019889761703e-15,"Tead3","TEA domain family member 3","21678"
"ENSMUSG00000002289",1.70681649810835,2.02567958078677,3.34505333059812e-18,"Angptl4","angiopoietin-like 4","57875"
"ENSMUSG00000002325",1.71974621142194,4.36282753425241,8.16040597765299e-20,"Irf9","interferon regulatory factor 9","16391"
"ENSMUSG00000002332",2.18558981596918,7.67045175109722,1.14234782378038e-65,"Dhrs1","dehydrogenase/reductase (SDR family) member 1","52585"
"ENSMUSG00000002602",1.5408038857941,7.17477035321494,9.36540407634076e-58,"Axl","AXL receptor tyrosine kinase","26362"
"ENSMUSG00000002603",1.22543314774627,3.41193718478894,1.9967592244157e-19,"Tgfb1","transforming growth factor, beta 1","21803"
"ENSMUSG00000002668",1.28009768675056,0.615901775450178,2.69588796491643e-05,"Dennd1c","DENN/MADD domain containing 1C","70785"
"ENSMUSG00000002699",1.33845578817715,2.69184204622266,7.73937360390378e-17,"Lcp2","lymphocyte cytosolic protein 2","16822"
"ENSMUSG00000002831",5.08580251615799,6.54947159351295,1.33814587019504e-23,"Plin4","perilipin 4","57435"
"ENSMUSG00000002847",1.47569621826397,0.922454599488022,5.40274308701425e-06,"Pla1a","phospholipase A1 member A","85031"
"ENSMUSG00000002897",1.11695336669605,4.72306003833972,1.12640963144394e-18,"Il17ra","interleukin 17 receptor A","16172"
"ENSMUSG00000002910",1.6083632875903,5.40318252780285,5.5163870777779e-09,"Arrdc2","arrestin domain containing 2","70807"
"ENSMUSG00000002985",2.39010595472905,12.1573005162759,3.07215687289026e-52,"Apoe","apolipoprotein E","11816"
"ENSMUSG00000003032",1.14672388219114,3.57464168233562,4.78139001898459e-10,"Klf4","Kruppel-like factor 4 (gut)","16600"
"ENSMUSG00000003283",1.63152037426008,2.71831465667368,2.33200962148385e-18,"Hck","hemopoietic cell kinase","15162"
"ENSMUSG00000003341",-1.06625759982071,1.02481307293577,5.98195430642934e-08,"Atp8b3","ATPase, class I, type 8B, member 3","67331"
"ENSMUSG00000003500",-1.22333953277597,5.21512273854298,1.7876327772815e-30,"Impdh1","inosine 5'-phosphate dehydrogenase 1","23917"
"ENSMUSG00000003526",1.67594364862709,5.16295385355983,1.46863786594193e-18,"Prodh","proline dehydrogenase","19125"
"ENSMUSG00000003545",1.68759753065447,2.32129467552824,0.000536754718347728,"Fosb","FBJ osteosarcoma oncogene B","14282"
"ENSMUSG00000003549",1.00254228254264,3.86134752012653,3.01626555439824e-15,"Ercc1","excision repair cross-complementing rodent repair deficiency, complementation group 1","13870"
"ENSMUSG00000003812",1.3036721418385,3.25197763606849,7.34842302260496e-19,"Dnase2a","deoxyribonuclease II alpha","13423"
"ENSMUSG00000003849",1.12327669199984,3.8235519963033,7.83616127671266e-18,"Nqo1","NAD(P)H dehydrogenase, quinone 1","18104"
"ENSMUSG00000003882",1.24189238815304,1.23191250738297,2.53765356958453e-08,"Il7r","interleukin 7 receptor","16197"
"ENSMUSG00000004098",2.60615853435782,4.40505657699279,3.40473964128338e-27,"Col5a3","collagen, type V, alpha 3","53867"
"ENSMUSG00000004266",1.82230383208043,3.32174277397225,1.56993447130682e-18,"Ptpn6","protein tyrosine phosphatase, non-receptor type 6","15170"
"ENSMUSG00000004328",2.21367646071398,4.55984916655165,8.88265493258376e-11,"Hif3a","hypoxia inducible factor 3, alpha subunit","53417"
"ENSMUSG00000004552",4.46135940111376,3.99602753028088,5.79241965020011e-18,"Ctse","cathepsin E","13034"
"ENSMUSG00000004609",1.6736197822589,3.72027450927763,5.42468649574732e-19,"Cd33","CD33 antigen","12489"
"ENSMUSG00000004707",4.02347279078523,1.77231494878548,5.20081841994016e-57,"Ly9","lymphocyte antigen 9","17085"
"ENSMUSG00000004730",2.10171908030525,3.88593229975562,2.88572471746054e-42,"Adgre1","adhesion G protein-coupled receptor E1","13733"
"ENSMUSG00000004891",1.7075825897818,5.00541867938924,1.08730167847107e-38,"Nes","nestin","18008"
"ENSMUSG00000004951",3.05190467829257,6.40473395063724,5.39532993235158e-75,"Hspb1","heat shock protein 1","15507"
"ENSMUSG00000004952",1.18697629145228,3.77065177665755,1.06873496939162e-12,"Rasa4","RAS p21 protein activator 4","54153"
"ENSMUSG00000005087",2.47228211492034,5.16586691973409,2.17489430543659e-71,"Cd44","CD44 antigen","12505"
"ENSMUSG00000005107",1.57121177357656,0.654848013360029,2.65419737611753e-11,"Slc2a9","solute carrier family 2 (facilitated glucose transporter), member 9","117591"
"ENSMUSG00000005142",1.74435928651449,6.56298296673838,4.20274732712011e-68,"Man2b1","mannosidase 2, alpha B1","17159"
"ENSMUSG00000005233",1.1945224510089,0.573440792909782,0.00016549403472288,"Spc25","SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)","66442"
"ENSMUSG00000005397",-1.31183157505862,5.29425034545011,5.37765414721566e-07,"Nid1","nidogen 1","18073"
"ENSMUSG00000005413",2.03625281830062,3.8945657776232,8.83266750577861e-44,"Hmox1","heme oxygenase 1","15368"
"ENSMUSG00000005611",-1.18787213725207,3.35295630689858,9.63542634890088e-12,"Mrvi1","MRV integration site 1","17540"
"ENSMUSG00000006143",2.16040308416125,0.658337284430687,1.16803390136602e-08,"Upk3bl","uroplakin 3B-like","69665"
"ENSMUSG00000006205",1.07394110231634,8.65649056083662,1.0547102351459e-15,"Htra1","HtrA serine peptidase 1","56213"
"ENSMUSG00000006219",2.16325655689865,1.97139981969727,4.14375552891832e-28,"Fblim1","filamin binding LIM protein 1","74202"
"ENSMUSG00000006221",2.74797136331076,1.15109656065373,2.77693443608477e-09,"Hspb7","heat shock protein family, member 7 (cardiovascular)","29818"
"ENSMUSG00000006342",-1.416621181272,5.49248559580608,5.91399814607431e-31,"Susd2","sushi domain containing 2","71733"
"ENSMUSG00000006344",1.77693104276523,3.39930529104163,8.44760481650653e-33,"Ggt5","gamma-glutamyltransferase 5","23887"
"ENSMUSG00000006457",1.95815154476071,2.05744753290322,0.00319094060092556,"Actn3","actinin alpha 3","11474"
"ENSMUSG00000006469",-1.29743205630447,1.3866443281998,4.07558498195687e-06,"Slc34a3","solute carrier family 34 (sodium phosphate), member 3","142681"
"ENSMUSG00000006517",-1.48556472510068,4.47289025902921,5.48819982555093e-21,"Mvd","mevalonate (diphospho) decarboxylase","192156"
"ENSMUSG00000006519",2.59510621926427,3.98747201866355,3.94171308552889e-71,"Cyba","cytochrome b-245, alpha polypeptide","13057"
"ENSMUSG00000006611",1.20169369035799,3.51310401213486,1.24166357563083e-11,"Hfe","hemochromatosis","15216"
"ENSMUSG00000007030",-1.62246140819253,3.11728039319378,2.36139169416172e-21,"Vwa7","von Willebrand factor A domain containing 7","27762"
"ENSMUSG00000007041",1.41431852439882,4.70085312997638,4.63443652494433e-23,"Clic1","chloride intracellular channel 1","114584"
"ENSMUSG00000007122",1.6736535367762,2.74060019422287,1.43734219875305e-16,"Casq1","calsequestrin 1","12372"
"ENSMUSG00000007476",1.45163886086923,5.21409120496084,4.13490798631697e-12,"Lrrc8a","leucine rich repeat containing 8A","241296"
"ENSMUSG00000007613",1.40634613905679,5.83642804378788,4.35110188105842e-35,"Tgfbr1","transforming growth factor, beta receptor I","21812"
"ENSMUSG00000007877",2.53145537902097,0.861061845078852,0.00591499155137865,"Tcap","titin-cap","21393"
"ENSMUSG00000007888",2.54248132083563,1.97780061388991,8.46119197788793e-36,"Crlf1","cytokine receptor-like factor 1","12931"
"ENSMUSG00000007891",1.78254683862465,8.98444968872823,8.15905487912667e-54,"Ctsd","cathepsin D","13033"
"ENSMUSG00000008540",1.41130031833331,5.18463601400071,7.74580411531211e-29,"Mgst1","microsomal glutathione S-transferase 1","56615"
"ENSMUSG00000009092",-1.23467030931025,0.784295902685596,2.21476605138781e-06,"Derl3","Der1-like domain family, member 3","70377"
"ENSMUSG00000009281",1.13690733343075,2.71886887505825,6.17820306382437e-13,"Rarres2","retinoic acid receptor responder (tazarotene induced) 2","71660"
"ENSMUSG00000009291",1.04361268051653,6.86573590736717,1.21098091833369e-25,"Pttg1ip","pituitary tumor-transforming 1 interacting protein","108705"
"ENSMUSG00000009376",1.57198131201075,2.76595716554032,3.34439336458212e-25,"Met","met proto-oncogene","17295"
"ENSMUSG00000009585",1.20668109135997,2.14252117335876,2.95370606089616e-11,"Apobec3","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3","80287"
"ENSMUSG00000009670",1.10984433699923,0.581907333475461,2.42554801069639e-05,"Tex11","testis expressed gene 11","83558"
"ENSMUSG00000009772",1.43631235308719,1.54054718957728,2.09592976002643e-10,"Nuak2","NUAK family, SNF1-like kinase, 2","74137"
"ENSMUSG00000010021",-1.16903769605114,3.37898995709979,2.98338089685091e-07,"Kif19a","kinesin family member 19A","286942"
"ENSMUSG00000010358",1.14725876130547,2.4548326696319,5.92856599122916e-11,"Ifi35","interferon-induced protein 35","70110"
"ENSMUSG00000010461",1.70551178868508,1.6394066941659,1.85722363952578e-13,"Eya4","EYA transcriptional coactivator and phosphatase 4","14051"
"ENSMUSG00000010825",-1.70299016631714,2.06984756022528,1.26994354969792e-18,"Grid2ip","glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1","170935"
"ENSMUSG00000011171",-1.76337040118829,2.19302000241216,2.13168409805048e-10,"Vipr2","vasoactive intestinal peptide receptor 2","22355"
"ENSMUSG00000011256",-1.56251141305272,4.90409169115981,7.53686126325218e-17,"Adam19","a disintegrin and metallopeptidase domain 19 (meltrin beta)","11492"
"ENSMUSG00000012428",2.29987719426351,1.10818836429404,4.09254539635882e-07,"Steap4","STEAP family member 4","117167"
"ENSMUSG00000013707",1.63081396796501,2.11260195570984,5.33559870752535e-16,"Tnfaip8l2","tumor necrosis factor, alpha-induced protein 8-like 2","69769"
"ENSMUSG00000014158",1.43836643509719,1.43692456507155,5.23455772015848e-06,"Trpv4","transient receptor potential cation channel, subfamily V, member 4","63873"
"ENSMUSG00000014361",1.36794280460615,5.14174591964411,8.28950819046609e-13,"Mertk","c-mer proto-oncogene tyrosine kinase","17289"
"ENSMUSG00000015027",1.11629751621577,3.02091594486094,1.08938127717472e-17,"Galns","galactosamine (N-acetyl)-6-sulfate sulfatase","50917"
"ENSMUSG00000015090",1.05221228378688,10.7692670763124,0.000705589593763604,"Ptgds","prostaglandin D2 synthase (brain)","19215"
"ENSMUSG00000015224",1.02251911519141,5.87316279215147,6.88427664205085e-17,"Cyp2j9","cytochrome P450, family 2, subfamily j, polypeptide 9","74519"
"ENSMUSG00000015243",2.22652069913032,6.36498973744942,1.57421264122994e-26,"Abca1","ATP-binding cassette, sub-family A (ABC1), member 1","11303"
"ENSMUSG00000015340",4.01165114423598,3.8478122243967,6.60663542923196e-29,"Cybb","cytochrome b-245, beta polypeptide","13058"
"ENSMUSG00000015355",2.47618049492155,1.92198116767602,6.67906789337533e-29,"Cd48","CD48 antigen","12506"
"ENSMUSG00000015451",2.45977809363201,1.65410393734429,1.79867824629707e-13,NA,NA,NA
"ENSMUSG00000015568",1.77157058492191,3.96185485950853,1.73053620555049e-10,"Lpl","lipoprotein lipase","16956"
"ENSMUSG00000015852",2.0845054404568,4.87313818367535,3.51976505565049e-15,"Fcrls","Fc receptor-like S, scavenger receptor","80891"
"ENSMUSG00000015947",1.96509002126276,3.6772259139096,9.93955974898045e-21,"Fcgr1","Fc receptor, IgG, high affinity I","14129"
"ENSMUSG00000015950",1.89892876051369,4.42393802811959,5.7391452938572e-34,"Ncf1","neutrophil cytosolic factor 1","17969"
"ENSMUSG00000016087",1.04441860177883,2.11522495130999,2.57345144447866e-07,"Fli1","Friend leukemia integration 1","14247"
"ENSMUSG00000016256",2.11320234629772,6.74590521883461,3.11732089901008e-77,"Ctsz","cathepsin Z","64138"
"ENSMUSG00000016494",1.91879043995883,6.04918100014461,3.46442150123044e-60,"Cd34","CD34 antigen","12490"
"ENSMUSG00000016918",1.37467780758821,4.34527412087323,7.28126205761836e-22,"Sulf1","sulfatase 1","240725"
"ENSMUSG00000017002",-1.02654103938527,1.6982533892222,6.04585138253449e-05,"Slpi","secretory leukocyte peptidase inhibitor","20568"
"ENSMUSG00000017009",1.79944580720309,7.22751543153347,2.04835674678465e-29,"Sdc4","syndecan 4","20971"
"ENSMUSG00000017697",1.54817883066395,2.11249886580155,1.67680066063326e-06,"Ada","adenosine deaminase","11486"
"ENSMUSG00000017734",1.00835430555804,7.58307528806727,9.07583759079357e-08,"Dbndd2","dysbindin (dystrobrevin binding protein 1) domain containing 2","52840"
"ENSMUSG00000017737",-1.50120906950794,2.64872964917304,1.44384230205106e-12,"Mmp9","matrix metallopeptidase 9","17395"
"ENSMUSG00000017830",1.68903532732098,1.8295745534835,3.10852406009391e-09,"Dhx58","DEXH (Asp-Glu-X-His) box polypeptide 58","80861"
"ENSMUSG00000018008",1.58204673333496,4.33384338814999,3.6202780715614e-21,"Cyth4","cytohesin 4","72318"
"ENSMUSG00000018143",1.6420980781583,4.94875755016079,2.56071552871192e-20,"Mafk","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)","17135"
"ENSMUSG00000018339",1.78157500052196,5.81127385876133,2.39950881402224e-17,"Gpx3","glutathione peroxidase 3","14778"
"ENSMUSG00000018381",1.12139003665072,0.803900286279301,7.59049399833314e-05,"Abi3","ABI gene family, member 3","66610"
"ENSMUSG00000018566",2.70190394711837,3.83139365481356,3.14540394855016e-27,"Slc2a4","solute carrier family 2 (facilitated glucose transporter), member 4","20528"
"ENSMUSG00000018593",1.00540998213668,10.9790542015823,4.30042062134328e-18,"Sparc","secreted acidic cysteine rich glycoprotein","20692"
"ENSMUSG00000018654",1.49143216660809,3.19670637816459,4.30953615160713e-19,"Ikzf1","IKAROS family zinc finger 1","22778"
"ENSMUSG00000018774",2.99396170159928,4.38433829697463,2.93582634188734e-109,"Cd68","CD68 antigen","12514"
"ENSMUSG00000018819",1.37135968032879,3.25966075915273,7.23342721510256e-12,"Lsp1","lymphocyte specific 1","16985"
"ENSMUSG00000018822",1.31278795187278,3.46565181869809,9.41511194179638e-17,"Sfrp5","secreted frizzled-related sequence protein 5","54612"
"ENSMUSG00000018893",2.10459758974874,2.00835985401242,0.0208060876611567,"Mb","myoglobin","17189"
"ENSMUSG00000018920",1.94323871861708,3.07824839254695,3.52221099268483e-22,"Cxcl16","chemokine (C-X-C motif) ligand 16","66102"
"ENSMUSG00000018927",2.81853436615213,2.90339868190594,2.00951950414549e-17,"Ccl6","chemokine (C-C motif) ligand 6","20305"
"ENSMUSG00000019122",2.29276545314415,2.36800962775935,2.13314567409771e-12,"Ccl9","chemokine (C-C motif) ligand 9","20308"
"ENSMUSG00000019232",2.92324870924543,6.74054500322206,3.18946173425198e-22,"Etnppl","ethanolamine phosphate phospholyase","71760"
"ENSMUSG00000019577",1.77926598938116,6.1871945861598,1.69537571906581e-13,"Pdk4","pyruvate dehydrogenase kinase, isoenzyme 4","27273"
"ENSMUSG00000019832",1.28035898917931,2.25484322768416,2.99687627833261e-09,"Rab32","RAB32, member RAS oncogene family","67844"
"ENSMUSG00000019848",-1.58128810706337,1.59208339768467,2.35630512475559e-21,"Popdc3","popeye domain containing 3","78977"
"ENSMUSG00000019850",1.49519580327064,2.76611976110136,3.66519930209395e-09,"Tnfaip3","tumor necrosis factor, alpha-induced protein 3","21929"
"ENSMUSG00000019970",1.94800689553452,8.50185675495064,6.63242369577312e-12,"Sgk1","serum/glucocorticoid regulated kinase 1","20393"
"ENSMUSG00000019989",-1.13293882494066,1.2560305318918,3.12929046599208e-06,"Enpp3","ectonucleotide pyrophosphatase/phosphodiesterase 3","209558"
"ENSMUSG00000020009",1.23219021207673,5.1349124193913,1.54995433889744e-17,"Ifngr1","interferon gamma receptor 1","15979"
"ENSMUSG00000020017",2.97284422178867,0.512226361489396,1.51314374121051e-30,"Hal","histidine ammonia lyase","15109"
"ENSMUSG00000020057",1.17615225914536,0.621885375458367,4.53336766207588e-06,"Dram1","DNA-damage regulated autophagy modulator 1","71712"
"ENSMUSG00000020061",1.33188099350556,2.79147280819764,4.63140542243628e-08,"Mybpc1","myosin binding protein C, slow-type","109272"
"ENSMUSG00000020097",1.21316341739803,5.95535277482178,3.90314253250858e-31,"Sgpl1","sphingosine phosphate lyase 1","20397"
"ENSMUSG00000020099",-1.12804218123635,6.28269922016618,6.44699718239782e-11,"Unc5b","unc-5 netrin receptor B","107449"
"ENSMUSG00000020101",1.03151693912659,5.59134812673726,1.59953426492376e-18,"Vsir","V-set immunoregulatory receptor","74048"
"ENSMUSG00000020108",1.47606641647007,6.74827279966058,2.11261881082735e-11,"Ddit4","DNA-damage-inducible transcript 4","74747"
"ENSMUSG00000020120",1.9044931893084,4.95611230704965,9.68610149848281e-40,"Plek","pleckstrin","56193"
"ENSMUSG00000020143",1.50973419962121,3.90408404194519,7.44972215604727e-19,"Dock2","dedicator of cyto-kinesis 2","94176"
"ENSMUSG00000020150",-1.16478099811216,4.50355615922314,3.91411956567559e-06,"Gamt","guanidinoacetate methyltransferase","14431"
"ENSMUSG00000020182",1.87764709258737,5.35207498802854,3.08993804692484e-11,"Ddc","dopa decarboxylase","13195"
"ENSMUSG00000020212",1.13487150958687,3.38430848171324,0.00476724697019366,"Mdm1","transformed mouse 3T3 cell double minute 1","17245"
"ENSMUSG00000020282",1.04499563781328,4.25946532392332,3.86419614283808e-17,"Rhbdf1","rhomboid 5 homolog 1","13650"
"ENSMUSG00000020288",-1.0289662629562,4.14236783599679,4.81163081789058e-11,"Ahsa2","AHA1, activator of heat shock protein ATPase 2","268390"
"ENSMUSG00000020334",1.30443438569915,5.39702795660793,1.12136713692368e-28,"Slc22a4","solute carrier family 22 (organic cation transporter), member 4","30805"
"ENSMUSG00000020363",1.55528925919735,3.09985431109854,6.79343577558801e-17,"Gfpt2","glutamine fructose-6-phosphate transaminase 2","14584"
"ENSMUSG00000020388",1.63017909016231,4.51113689834874,5.65635558725604e-34,"Pdlim4","PDZ and LIM domain 4","30794"
"ENSMUSG00000020396",-1.62774499411139,9.71043105083981,3.32197393405393e-43,"Nefh","neurofilament, heavy polypeptide","380684"
"ENSMUSG00000020399",2.29223689301191,3.56607794534004,8.28268007844736e-27,"Havcr2","hepatitis A virus cellular receptor 2","171285"
"ENSMUSG00000020411",-1.01842252149132,4.70454530471579,1.20564628436641e-06,"Nipal4","NIPA-like domain containing 4","214112"
"ENSMUSG00000020423",1.72768384534076,4.18537185377402,1.03970407724395e-08,"Btg2","B cell translocation gene 2, anti-proliferative","12227"
"ENSMUSG00000020424",1.05773487590953,3.64302426075126,4.45870249910917e-10,"Gatsl3","GATS protein-like 3","71962"
"ENSMUSG00000020437",1.51731959347835,0.880410392853291,1.96719102253884e-09,"Myo1g","myosin IG","246177"
"ENSMUSG00000020534",1.37584677160619,2.68549663110982,1.81449458808565e-12,"Shmt1","serine hydroxymethyltransferase 1 (soluble)","20425"
"ENSMUSG00000020538",1.10275767272778,6.90126523515274,3.06925812526993e-11,"Srebf1","sterol regulatory element binding transcription factor 1","20787"
"ENSMUSG00000020573",1.25812525886091,2.987943360013,1.46815976530722e-11,"Pik3cg","phosphoinositide-3-kinase, catalytic, gamma polypeptide","30955"
"ENSMUSG00000020641",2.32079867409268,2.25115372696967,2.11041638819689e-08,"Rsad2","radical S-adenosyl methionine domain containing 2","58185"
"ENSMUSG00000020672",1.1555749082248,0.735894180697008,1.41853810362003e-08,"Sntg2","syntrophin, gamma 2","268534"
"ENSMUSG00000020709",1.46540444902296,2.79480768987388,6.84984061578124e-10,"Adap2","ArfGAP with dual PH domains 2","216991"
"ENSMUSG00000020806",1.30662430095544,1.55534914279745,3.03323960195439e-13,"Rhbdf2","rhomboid 5 homolog 2","217344"
"ENSMUSG00000020865",1.66235585963937,2.27930469478005,1.26149688936308e-18,"Abcc3","ATP-binding cassette, sub-family C (CFTR/MRP), member 3","76408"
"ENSMUSG00000020890",-1.09812303045398,2.07736518819833,3.57188821063121e-13,"Gucy2e","guanylate cyclase 2e","14919"
"ENSMUSG00000020893",1.091582894263,5.75432053524913,1.3552893278901e-07,"Per1","period circadian clock 1","18626"
"ENSMUSG00000020932",2.20088451338123,12.441791033665,4.51379698206173e-87,"Gfap","glial fibrillary acidic protein","14580"
"ENSMUSG00000021025",1.31862871219584,5.5250089888135,1.93282874277824e-10,"Nfkbia","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha","18035"
"ENSMUSG00000021070",1.36759987571816,3.23697422273715,3.93195732466205e-05,"Bdkrb2","bradykinin receptor, beta 2","12062"
"ENSMUSG00000021091",3.57496970119799,8.81769324207272,1.11425615079487e-207,"Serpina3n","serine (or cysteine) peptidase inhibitor, clade A, member 3N","20716"
"ENSMUSG00000021186",1.1499744255637,3.9021692252256,4.77018771083153e-06,"Fbln5","fibulin 5","23876"
"ENSMUSG00000021213",1.02574886360686,0.551591122988711,4.02020313491398e-06,"Akr1c13","aldo-keto reductase family 1, member C13","27384"
"ENSMUSG00000021215",1.13711169113086,5.09602184552048,1.45624238203735e-08,"Net1","neuroepithelial cell transforming gene 1","56349"
"ENSMUSG00000021250",1.7218389333262,5.38733532114305,4.44155427746901e-10,"Fos","FBJ osteosarcoma oncogene","14281"
"ENSMUSG00000021281",1.00289283414805,1.78309133727679,5.7698593463672e-06,"Tnfaip2","tumor necrosis factor, alpha-induced protein 2","21928"
"ENSMUSG00000021360",1.0342650281336,3.26853110081655,1.10535202897806e-12,"Gcnt2","glucosaminyl (N-acetyl) transferase 2, I-branching enzyme","14538"
"ENSMUSG00000021367",1.23330801794214,2.28407473091364,2.04709478371319e-08,"Edn1","endothelin 1","13614"
"ENSMUSG00000021423",1.46665145325912,4.90874782067767,3.27128844601518e-10,"Ly86","lymphocyte antigen 86","17084"
"ENSMUSG00000021457",1.20868905077057,2.69472336803928,2.5732460884336e-09,"Syk","spleen tyrosine kinase","20963"
"ENSMUSG00000021477",1.14114651058134,7.46539275661525,1.20966595014115e-32,"Ctsl","cathepsin L","13039"
"ENSMUSG00000021556",1.01216625781468,4.47363923227304,2.80859408901442e-10,"Golm1","golgi membrane protein 1","105348"
"ENSMUSG00000021594",-1.27964325259706,4.42034090158546,1.28386159157433e-10,"Srd5a1","steroid 5 alpha-reductase 1","78925"
"ENSMUSG00000021624",2.28200275948718,2.6392399187586,3.29989412547523e-11,"Cd180","CD180 antigen","17079"
"ENSMUSG00000021647",1.08371321266416,3.75635790935818,7.68665617167946e-06,"Cartpt","CART prepropeptide","27220"
"ENSMUSG00000021665",1.45924082425631,7.65215804349255,1.06051674927256e-32,"Hexb","hexosaminidase B","15212"
"ENSMUSG00000021670",-1.20091445357276,6.38311866701837,1.58618546695779e-22,"Hmgcr","3-hydroxy-3-methylglutaryl-Coenzyme A reductase","15357"
"ENSMUSG00000021676",2.09484371172668,2.88405710466928,3.39242100072556e-22,"Iqgap2","IQ motif containing GTPase activating protein 2","544963"
"ENSMUSG00000021696",-1.1025824775213,6.00562710396738,4.41806414643473e-07,"Elovl7","ELOVL family member 7, elongation of long chain fatty acids (yeast)","74559"
"ENSMUSG00000021697",-1.98755081281886,1.78116965258307,7.20805119264346e-11,"Depdc1b","DEP domain containing 1B","218581"
"ENSMUSG00000021710",1.29204572580176,5.19468213604973,5.12480300617096e-25,"Nln","neurolysin (metallopeptidase M3 family)","75805"
