"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"2540","ENSMUSG00000052125",-1.37256618477289,4.1598149584575,4.63696982533073e-20,"F730043M19Rik","RIKEN cDNA F730043M19 gene","320046","GO:0003674","molecular_function"
"2534","ENSMUSG00000051920",-1.79964015913288,2.64600868871153,2.4256484936302e-24,"Rspo2","R-spondin 2","239405","GO:0001649","osteoblast differentiation"
"2408","ENSMUSG00000048332",1.62954454349203,5.43093240537127,2.90553906705638e-23,"Lhfp","lipoma HMGIC fusion partner","108927","GO:0003674","molecular_function"
"2391","ENSMUSG00000047986",-1.83187409767618,3.14792968026658,1.31462543959193e-18,"Palm3","paralemmin 3","74337","GO:0000166","nucleotide binding"
"2370","ENSMUSG00000047606",-1.07187970159356,3.38124833695753,2.87284745456706e-12,"Ankrd34c","ankyrin repeat domain 34C","330998","GO:0003674","molecular_function"
"2337","ENSMUSG00000046854",-1.0516096455458,2.28723990695509,1.51695667897196e-08,"Pip5kl1","phosphatidylinositol-4-phosphate 5-kinase-like 1","227733","GO:0000166","nucleotide binding"
"2281","ENSMUSG00000045246",-1.34806291074949,6.19709734934372,1.46741140544129e-27,"Kcng4","potassium voltage-gated channel, subfamily G, member 4","66733","GO:0005216","ion channel activity"
"2260","ENSMUSG00000044505",-1.74541184201084,3.97230082209222,2.5175022511154e-12,"Lingo4","leucine rich repeat and Ig domain containing 4","320747","GO:0003674","molecular_function"
"2244","ENSMUSG00000044080",1.22060791692212,7.20309846540928,5.14049695597258e-28,"S100a1","S100 calcium binding protein A1","20193","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2221","ENSMUSG00000043461",-1.03806780405265,3.06995562967019,9.85252803569249e-13,"Sptssb","serine palmitoyltransferase, small subunit B","66183","GO:0004758","serine C-palmitoyltransferase activity"
"2219","ENSMUSG00000043448",-1.51438932765706,6.20250496615176,3.36658449682101e-07,"Gjc2","gap junction protein, gamma 2","118454","GO:0005243","gap junction channel activity"
"2170","ENSMUSG00000042529",-1.06182385450161,3.01599797673236,5.71627457214707e-14,"Kcnj12","potassium inwardly-rectifying channel, subfamily J, member 12","16515","GO:0005242","inward rectifier potassium channel activity"
"2083","ENSMUSG00000041205",-1.21089396053044,6.06926291534734,3.89204376032071e-09,"Map6d1","MAP6 domain containing 1","208158","GO:0000226","microtubule cytoskeleton organization"
"2051","ENSMUSG00000040690",1.41691649358398,5.46225222126217,4.59938181118295e-13,"Col16a1","collagen, type XVI, alpha 1","107581","GO:0005178","integrin binding"
"2049","ENSMUSG00000040666",-1.3399858164619,4.54073997690091,8.95464422011242e-22,"Sh3bgr","SH3-binding domain glutamic acid-rich protein","50795","GO:0003674","molecular_function"
"2031","ENSMUSG00000040424",-1.04993182271672,5.34415464693272,5.39943813419893e-16,"Hipk4","homeodomain interacting protein kinase 4","233020","GO:0000166","nucleotide binding"
"1906","ENSMUSG00000038530",-1.10952271658922,6.77058626792417,1.15611640429561e-33,"Rgs4","regulator of G-protein signaling 4","19736","GO:0001965","G-protein alpha-subunit binding"
"1883","ENSMUSG00000038227",1.6221617636552,3.89546956373955,0.00105733563275159,"Hoxa9","homeobox A9","15405","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"1777","ENSMUSG00000036760",-1.15525067618901,4.17971608443551,3.41362343195205e-11,"Kcnk9","potassium channel, subfamily K, member 9","223604","GO:0005249","voltage-gated potassium channel activity"
"1750","ENSMUSG00000036198",-1.09312988168277,5.37581277790266,2.78379198747844e-19,"Arhgap36","Rho GTPase activating protein 36","75404","GO:0003674","molecular_function"
"1728","ENSMUSG00000035805",1.0853163484828,8.55835064661372,1.38633973952257e-27,"Mlc1","megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human)","170790","GO:0005515","protein binding"
"1726","ENSMUSG00000035745",-1.89033604089948,1.73783807826191,8.1940808572988e-30,"Grin3b","glutamate receptor, ionotropic, NMDA3B","170483","GO:0004872","receptor activity"
"1720","ENSMUSG00000035615",1.08611813484176,5.37921862287305,7.73273552614829e-10,"Frmpd1","FERM and PDZ domain containing 1","666060","GO:0003674","molecular_function"
"1640","ENSMUSG00000034460",-1.07427266703425,2.35996088220462,9.27821788576409e-11,"Six4","sine oculis-related homeobox 4","20474","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"1629","ENSMUSG00000034209",-1.01904312690576,0.820063355827602,5.80712763684007e-08,"Rasl10a","RAS-like, family 10, member A","75668","GO:0000166","nucleotide binding"
"1478","ENSMUSG00000031980",1.99968668348555,8.88104403790737,1.03109493993471e-23,"Agt","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","11606","GO:0001543","ovarian follicle rupture"
"1472","ENSMUSG00000031910",-1.72903820473764,2.04651985541319,3.23365021762569e-18,"Has3","hyaluronan synthase 3","15118","GO:0005737","cytoplasm"
"1470","ENSMUSG00000031883",-1.34103969318063,2.9748953193898,7.83056904122223e-15,"Car7","carbonic anhydrase 7","12354","GO:0004089","carbonate dehydratase activity"
"1454","ENSMUSG00000031790",-1.10549057615303,5.95172351609048,2.656142816251e-11,"Mmp15","matrix metallopeptidase 15","17388","GO:0004222","metalloendopeptidase activity"
"1448","ENSMUSG00000031760",1.55415574137522,8.46491774719433,9.99764164664857e-19,"Mt3","metallothionein 3","17751","GO:0006112","energy reserve metabolic process"
"1403","ENSMUSG00000031239",-1.0570478589627,5.95691685906521,5.16728286769107e-09,"Itm2a","integral membrane protein 2A","16431","GO:0002317","plasma cell differentiation"
"1391","ENSMUSG00000031139",-1.0655114282285,4.70994419599908,1.62207498490378e-22,"Mcf2","mcf.2 transforming sequence","109904","GO:0005085","guanyl-nucleotide exchange factor activity"
"1350","ENSMUSG00000030666",-1.05513505851009,3.09725679761694,5.02618691030508e-07,"Calcb","calcitonin-related polypeptide, beta","116903","GO:0003674","molecular_function"
"1347","ENSMUSG00000030607",-1.4648614833742,3.73511344897169,2.67588533153437e-26,"Acan","aggrecan","11595","GO:0001502","cartilage condensation"
"1320","ENSMUSG00000030317",1.54615402996529,7.33917599513319,4.16411269975629e-20,"Timp4","tissue inhibitor of metalloproteinase 4","110595","GO:0002020","protease binding"
"1287","ENSMUSG00000030088",1.39430621688538,6.61004627301264,8.86804215534164e-37,"Aldh1l1","aldehyde dehydrogenase 1 family, member L1","107747","GO:0003824","catalytic activity"
"1186","ENSMUSG00000028963",2.50029890648508,3.50138572344464,3.07802915483685e-20,"Uts2","urotensin 2","24111","GO:0003105","negative regulation of glomerular filtration"
"1178","ENSMUSG00000028876",-1.11673471554656,5.33043504180546,2.03739646371617e-20,"Epha10","Eph receptor A10","230735","GO:0000166","nucleotide binding"
"1066","ENSMUSG00000027525",1.28602863310479,7.09568330339783,3.25094861014461e-09,"Phactr3","phosphatase and actin regulator 3","74189","GO:0003779","actin binding"
"1032","ENSMUSG00000027186",-1.4525593136948,0.801711227326258,1.25003477850538e-09,"Elf5","E74-like factor 5","13711","GO:0000977","RNA polymerase II regulatory region sequence-specific DNA binding"
"966","ENSMUSG00000026468",-2.00711180449339,2.14520307249468,2.78691077203346e-36,"Lhx4","LIM homeobox protein 4","16872","GO:0001890","placenta development"
"882","ENSMUSG00000025666",1.02894797401512,6.62153682883463,1.73291526088178e-10,"Tmem47","transmembrane protein 47","192216","GO:0005515","protein binding"
"791","ENSMUSG00000024558",1.16785418995627,5.98694975272871,2.57555219960813e-13,"Mapk4","mitogen-activated protein kinase 4","225724","GO:0000166","nucleotide binding"
"731","ENSMUSG00000023945",-1.35516586690892,6.32217058910434,2.07759192541654e-16,"Slc5a7","solute carrier family 5 (choline transporter), member 7","63993","GO:0005215","transporter activity"
"686","ENSMUSG00000022860",-4.59147997558126,4.72662245782694,4.37700782077646e-130,"Chodl","chondrolectin","246048","GO:0005737","cytoplasm"
"676","ENSMUSG00000022758",-1.16576155943883,3.43664192718494,6.65998198789936e-19,"P2rx6","purinergic receptor P2X, ligand-gated ion channel, 6","18440","GO:0001614","purinergic nucleotide receptor activity"
"666","ENSMUSG00000022602",-1.55489956234625,4.51329501517,2.35262799787932e-13,"Arc","activity regulated cytoskeletal-associated protein","11838","GO:0003779","actin binding"
"655","ENSMUSG00000022485",-1.20638137946719,4.09103723757168,0.00236086416345586,"Hoxc5","homeobox C5","15424","GO:0003677","DNA binding"
"653","ENSMUSG00000022479",-1.19724352072968,1.67125705285777,3.22186921790788e-07,"Vdr","vitamin D receptor","22337","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"651","ENSMUSG00000022469",1.10518307454246,5.54387937954762,6.80696282635257e-14,"Rapgef3","Rap guanine nucleotide exchange factor (GEF) 3","223864","GO:0000166","nucleotide binding"
"601","ENSMUSG00000022037",1.27111463049268,10.1166321198663,3.37356302173847e-33,"Clu","clusterin","12759","GO:0000902","cell morphogenesis"
"592","ENSMUSG00000021974",-1.00401667029675,4.75263740302132,4.23917391004881e-16,"Fgf9","fibroblast growth factor 9","14180","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"586","ENSMUSG00000021919",-1.29641360193595,4.64745284185567,3.93997402499412e-14,"Chat","choline acetyltransferase","12647","GO:0004102","choline O-acetyltransferase activity"
"562","ENSMUSG00000021647",1.08371321266416,3.75635790935818,7.68665617167946e-06,"Cartpt","CART prepropeptide","27220","GO:0000186","activation of MAPKK activity"
"511","ENSMUSG00000021186",1.1499744255637,3.9021692252256,4.77018771083153e-06,"Fbln5","fibulin 5","23876","GO:0005178","integrin binding"
"501","ENSMUSG00000021091",3.57496970119799,8.81769324207272,1.11425615079487e-207,"Serpina3n","serine (or cysteine) peptidase inhibitor, clade A, member 3N","20716","GO:0004867","serine-type endopeptidase inhibitor activity"
"432","ENSMUSG00000020334",1.30443438569915,5.39702795660793,1.12136713692368e-28,"Slc22a4","solute carrier family 22 (organic cation transporter), member 4","30805","GO:0000166","nucleotide binding"
"410","ENSMUSG00000020099",-1.12804218123635,6.28269922016618,6.44699718239782e-11,"Unc5b","unc-5 netrin receptor B","107449","GO:0001525","angiogenesis"
"384","ENSMUSG00000019848",-1.58128810706337,1.59208339768467,2.35630512475559e-21,"Popdc3","popeye domain containing 3","78977","GO:0000166","nucleotide binding"
"334","ENSMUSG00000017737",-1.50120906950794,2.64872964917304,1.44384230205106e-12,"Mmp9","matrix metallopeptidase 9","17395","GO:0001501","skeletal system development"
"333","ENSMUSG00000017734",1.00835430555804,7.58307528806727,9.07583759079357e-08,"Dbndd2","dysbindin (dystrobrevin binding protein 1) domain containing 2","52840","GO:0003674","molecular_function"
"255","ENSMUSG00000011171",-1.76337040118829,2.19302000241216,2.13168409805048e-10,"Vipr2","vasoactive intestinal peptide receptor 2","22355","GO:0004871","signal transducer activity"
"252","ENSMUSG00000010825",-1.70299016631714,2.06984756022528,1.26994354969792e-18,"Grid2ip","glutamate receptor, ionotropic, delta 2 (Grid2) interacting protein 1","170935","GO:0005515","protein binding"
"199","ENSMUSG00000007030",-1.62246140819253,3.11728039319378,2.36139169416172e-21,"Vwa7","von Willebrand factor A domain containing 7","27762","GO:0005576","extracellular region"
"180","ENSMUSG00000006342",-1.416621181272,5.49248559580608,5.91399814607431e-31,"Susd2","sushi domain containing 2","71733","GO:0003674","molecular_function"
"174","ENSMUSG00000006205",1.07394110231634,8.65649056083662,1.0547102351459e-15,"Htra1","HtrA serine peptidase 1","56213","GO:0001558","regulation of cell growth"
"165","ENSMUSG00000005611",-1.18787213725207,3.35295630689858,9.63542634890088e-12,"Mrvi1","MRV integration site 1","17540","GO:0005515","protein binding"
"112","ENSMUSG00000003500",-1.22333953277597,5.21512273854298,1.7876327772815e-30,"Impdh1","inosine 5'-phosphate dehydrogenase 1","23917","GO:0003676","nucleic acid binding"
"50","ENSMUSG00000001566",-1.72141935627104,1.00684384302471,2.90049015031376e-12,"Mnx1","motor neuron and pancreas homeobox 1","15285","GO:0001764","neuron migration"
"29","ENSMUSG00000000938",3.47553164121013,3.00842423835217,2.71588620117058e-05,"Hoxa10","homeobox A10","15395","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
