"","NA.","logFC","logCPM","PValue","symbol","name","entrez","GOID","term"
"3017","ENSMUSG00000074825",0.988200013771426,1.51055599512429,7.08453694767149e-09,"Itpripl1","inositol 1,4,5-triphosphate receptor interacting protein-like 1","73338","GO:0003674","molecular_function"
"3016","ENSMUSG00000074794",0.510452396527463,7.18341135626999,4.39376434232519e-06,"Arrdc3","arrestin domain containing 3","105171","GO:0001659","temperature homeostasis"
"3009","ENSMUSG00000074622",1.03287590331269,4.26407857360311,1.49689172933365e-08,"Mafb","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)","16658","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"2978","ENSMUSG00000073490",4.26297101520731,1.85835314632833,9.24405891586306e-29,"Ifi207","interferon activated gene 207","226691","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"2977","ENSMUSG00000073489",4.11104840601166,1.24818420852582,8.87344678919079e-21,"Ifi204","interferon activated gene 204","15951","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"2968","ENSMUSG00000073409",3.0836049850989,1.79723875501389,2.93283188929607e-14,"H2-Q8","histocompatibility 2, Q region locus 8","15019","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I"
"2947","ENSMUSG00000071715",1.69176988405092,1.86172372874853,5.43966558335765e-15,"Ncf4","neutrophil cytosolic factor 4","17972","GO:0005086","ARF guanyl-nucleotide exchange factor activity"
"2946","ENSMUSG00000071714",2.50825949322625,1.62726612988017,3.17030668301162e-19,"Csf2rb2","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage)","12984","GO:0004896","cytokine receptor activity"
"2932","ENSMUSG00000071203",2.12452015211716,1.29933892429137,1.40787949460478e-14,"Naip5","NLR family, apoptosis inhibitory protein 5","17951","GO:0000166","nucleotide binding"
"2926","ENSMUSG00000070942",1.68592107903965,0.932061876779008,5.61603835854184e-08,"Il1rl2","interleukin 1 receptor-like 2","107527","GO:0002376","immune system process"
"2914","ENSMUSG00000070427",1.44084748950477,2.18954374925789,2.11550524652211e-14,"Il18bp","interleukin 18 binding protein","16068","GO:0005576","extracellular region"
"2911","ENSMUSG00000070327",1.0153025411365,4.77428993027068,0.000577840298660653,"Rnf213","ring finger protein 213","672511","GO:0001525","angiogenesis"
"2906","ENSMUSG00000069892",0.894729359037908,0.97418765983265,0.0173377908425747,"9930111J21Rik2","RIKEN cDNA 9930111J21 gene 2","245240","GO:0003674","molecular_function"
"2903","ENSMUSG00000069833",1.05422481448671,6.04081448678767,8.23859900589535e-09,"Ahnak","AHNAK nucleoprotein (desmoyokin)","66395","GO:0003723","RNA binding"
"2898","ENSMUSG00000069516",2.83361020724776,6.93177382615868,4.40626206890859e-28,"Lyz2","lysozyme 2","17105","GO:0000137","Golgi cis cisterna"
"2881","ENSMUSG00000068245",2.64568442283761,0.734254520930312,2.62812442980215e-12,"Phf11d","PHD finger protein 11D","219132","GO:0003674","molecular_function"
"2852","ENSMUSG00000066026",0.916632785689826,4.05306850530156,2.92796948630846e-07,"Dhrs3","dehydrogenase/reductase (SDR family) member 3","20148","GO:0001523","retinoid metabolic process"
"2850","ENSMUSG00000065037",3.34563208211791,1.62558553637234,6.7212323197638e-25,"Rn7sk","RNA, 7SK, nuclear","19817","GO:0005515","protein binding"
"2813","ENSMUSG00000063234",1.8483632064719,1.11324932652351,6.31453683091036e-18,"Gpr84","G protein-coupled receptor 84","80910","GO:0004871","signal transducer activity"
"2806","ENSMUSG00000062901",0.52472416451746,5.8339090761028,2.75351158161228e-05,"Klhl24","kelch-like 24","75785","GO:0004842","ubiquitin-protein transferase activity"
"2790","ENSMUSG00000062127",0.67526523828173,5.73757514502596,2.19096403084883e-09,"Cttnbp2nl","CTTNBP2 N-terminal like","80281","GO:0005737","cytoplasm"
"2784","ENSMUSG00000061838",0.710784832889735,4.66571347965083,9.63193817852848e-11,"Suclg2","succinate-Coenzyme A ligase, GDP-forming, beta subunit","20917","GO:0000166","nucleotide binding"
"2774","ENSMUSG00000061232",2.20168688358612,6.32052063621325,9.1907622046394e-29,"H2-K1","histocompatibility 2, K1, K region","14972","GO:0001916","positive regulation of T cell mediated cytotoxicity"
"2773","ENSMUSG00000061175",0.738167492827576,3.95734080542652,1.16419151086085e-05,"Fnip2","folliculin interacting protein 2","329679","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2772","ENSMUSG00000061132",1.44186331072688,2.48732403739944,2.69951946008779e-13,"Blnk","B cell linker","17060","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity"
"2771","ENSMUSG00000061119",0.718970861107934,3.98540735656212,3.37631085437516e-05,"Prcp","prolylcarboxypeptidase (angiotensinase C)","72461","GO:0002155","regulation of thyroid hormone mediated signaling pathway"
"2766","ENSMUSG00000060802",1.95214637912143,7.64966150599968,6.60288984069542e-55,"B2m","beta-2 microglobulin","12010","GO:0001916","positive regulation of T cell mediated cytotoxicity"
"2753","ENSMUSG00000060519",1.55559980584361,4.6255761180265,1.40616379247386e-16,"Tor3a","torsin family 3, member A","30935","GO:0000166","nucleotide binding"
"2745","ENSMUSG00000060063",0.878073502383664,2.38292218859094,1.31511754982711e-08,"Alox5ap","arachidonate 5-lipoxygenase activating protein","11690","GO:0002540","leukotriene production involved in inflammatory response"
"2732","ENSMUSG00000059588",1.12645169328476,4.20857975949568,9.75853220523089e-05,"Calcrl","calcitonin receptor-like","54598","GO:0001525","angiogenesis"
"2731","ENSMUSG00000059555",1.18648138507406,2.7866861373254,2.94607981067267e-15,"Tor4a","torsin family 4, member A","227612","GO:0000166","nucleotide binding"
"2730","ENSMUSG00000059498",1.99952596660137,4.49284219795873,2.58100913588059e-44,"Fcgr3","Fc receptor, IgG, low affinity III","14131","GO:0001788","antibody-dependent cellular cytotoxicity"
"2728","ENSMUSG00000059456",1.30525240801749,3.66826511103687,2.54798492066441e-21,"Ptk2b","PTK2 protein tyrosine kinase 2 beta","19229","GO:0000165","MAPK cascade"
"2721","ENSMUSG00000059182",0.62485154772436,5.74088109799783,5.01393976913273e-08,"Skap2","src family associated phosphoprotein 2","54353","GO:0002757","immune response-activating signal transduction"
"2712","ENSMUSG00000058715",2.18077901961275,4.36726168562068,4.99693486703075e-43,"Fcer1g","Fc receptor, IgE, high affinity I, gamma polypeptide","14127","GO:0001798","positive regulation of type IIa hypersensitivity"
"2690","ENSMUSG00000058099",1.11252790993235,2.73103945450686,1.14694623811708e-08,"Nfam1","Nfat activating molecule with ITAM motif 1","74039","GO:0001819","positive regulation of cytokine production"
"2674","ENSMUSG00000057596",2.09872371391843,2.20451655845143,5.37083988624202e-08,"Trim30d","tripartite motif-containing 30D","209387","GO:0003674","molecular_function"
"2644","ENSMUSG00000056529",2.27366889692194,1.95229520430761,1.45102096080875e-29,"Ptafr","platelet-activating factor receptor","19204","GO:0001530","lipopolysaccharide binding"
"2635","ENSMUSG00000056313",1.00928039812462,1.58499744537342,5.59357183515569e-06,"1810011O10Rik","RIKEN cDNA 1810011O10 gene","69068","GO:0002264","endothelial cell activation involved in immune response"
"2631","ENSMUSG00000056069",0.886174512035519,3.40633928461405,1.37284501341614e-08,"Fam105a","family with sequence similarity 105, member A","223433","GO:0003674","molecular_function"
"2622","ENSMUSG00000055541",1.37988480786302,4.32340253246905,7.78748509726106e-14,"Lair1","leukocyte-associated Ig-like receptor 1","52855","GO:0005886","plasma membrane"
"2610","ENSMUSG00000055148",0.824465557877672,3.68917089615223,0.000282047150390284,"Klf2","Kruppel-like factor 2 (lung)","16598","GO:0000790","nuclear chromatin"
"2601","ENSMUSG00000054717",0.963956898139675,2.10991775261642,8.36005875446813e-05,"Hmgb2","high mobility group box 2","97165","GO:0000790","nuclear chromatin"
"2590","ENSMUSG00000054404",0.717190839217202,3.51454816136815,0.00313698409144887,"Slfn5","schlafen 5","327978","GO:0000166","nucleotide binding"
"2584","ENSMUSG00000053835",1.35372902645443,3.21096858829249,1.14231084246853e-05,"H2-T24","histocompatibility 2, T region locus 24","15042","GO:0002474","antigen processing and presentation of peptide antigen via MHC class I"
"2571","ENSMUSG00000053158",1.20496631757892,3.01602203638679,3.71290004675807e-11,"Fes","feline sarcoma oncogene","14159","GO:0000166","nucleotide binding"
"2557","ENSMUSG00000052684",0.507487186141161,5.79208462898856,1.28435693197762e-05,"Jun","jun proto-oncogene","16476","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2556","ENSMUSG00000052681",0.573929443648529,6.10687569314443,9.0727752250694e-06,"Rap1b","RAS related protein 1b","215449","GO:0000166","nucleotide binding"
"2547","ENSMUSG00000052384",1.44558047535551,3.74710543018375,1.4408929966665e-12,"Nrros","negative regulator of reactive oxygen species","224109","GO:0002376","immune system process"
"2546","ENSMUSG00000052336",1.07606719429666,6.22959847138611,5.50877566514748e-12,"Cx3cr1","chemokine (C-X3-C motif) receptor 1","13051","GO:0001774","microglial cell activation"
"2542","ENSMUSG00000052160",1.8402864947316,4.73538476623888,5.51509131519308e-36,"Pld4","phospholipase D family, member 4","104759","GO:0002244","hematopoietic progenitor cell differentiation"
"2541","ENSMUSG00000052142",1.5993083944446,2.82637046530023,4.14550999817179e-14,"Rasal3","RAS protein activator like 3","320484","GO:0005096","GTPase activator activity"
"2539","ENSMUSG00000052085",1.05047391443847,3.48435750207412,4.20707184446684e-08,"Dock8","dedicator of cytokinesis 8","76088","GO:0001771","immunological synapse formation"
"2538","ENSMUSG00000052062",0.71969500407514,2.7745645280871,3.35217566222562e-05,"Pard3b","par-3 family cell polarity regulator beta","72823","GO:0003674","molecular_function"
"2537","ENSMUSG00000052056",0.718748887869336,2.16945039568008,0.000100108058711981,"Zfp217","zinc finger protein 217","228913","GO:0000118","histone deacetylase complex"
"2529","ENSMUSG00000051735",0.815685399766859,1.84928656843815,3.43854579072035e-05,"Rinl","Ras and Rab interactor-like","320435","GO:0001726","ruffle"
"2525","ENSMUSG00000051652",1.24190147464554,3.56098485383812,6.40045492069851e-18,"Lrrc3","leucine rich repeat containing 3","237387","GO:0004860","protein kinase inhibitor activity"
"2517","ENSMUSG00000051498",1.24084339820948,0.859885129578226,6.58121921228639e-08,"Tlr6","toll-like receptor 6","21899","GO:0001774","microglial cell activation"
"2511","ENSMUSG00000051435",0.842447992342382,1.55486822752196,3.23992660841487e-06,"Fhad1","forkhead-associated (FHA) phosphopeptide binding domain 1","329977","GO:0003674","molecular_function"
"2508","ENSMUSG00000051212",1.15062231714378,1.57223789844606,6.69293222610972e-11,"Gpr183","G protein-coupled receptor 183","321019","GO:0002250","adaptive immune response"
"2492","ENSMUSG00000050732",1.16397822963991,4.14236138041816,1.41171437263817e-19,"Vamp8","vesicle-associated membrane protein 8","22320","GO:0000149","SNARE binding"
"2490","ENSMUSG00000050708",1.08495125919503,5.85040136595073,1.00978058797699e-23,"Ftl1","ferritin light polypeptide 1","14325","GO:0005506","iron ion binding"
"2469","ENSMUSG00000050103",0.63862818456662,4.11112847978171,3.20232043716281e-07,"Agmo","alkylglycerol monooxygenase","319660","GO:0005506","iron ion binding"
"2463","ENSMUSG00000049969",0.781492987006675,3.55861653257234,1.2603977064729e-09,"Plekhf2","pleckstrin homology domain containing, family F (with FYVE domain) member 2","71801","GO:0005768","endosome"
"2454","ENSMUSG00000049744",0.665728629701386,1.67989931117931,0.00016089293846887,"Arhgap15","Rho GTPase activating protein 15","76117","GO:0005096","GTPase activator activity"
"2451","ENSMUSG00000049625",1.14588487280218,2.49619292612383,2.26989135074e-05,"Tifab","TRAF-interacting protein with forkhead-associated domain, family member B","212937","GO:0003674","molecular_function"
"2438","ENSMUSG00000049130",1.3319638707987,0.978898246635715,1.57609202044362e-05,"C5ar1","complement component 5a receptor 1","12273","GO:0001856","complement component C5a binding"
"2430","ENSMUSG00000048865",1.32659266769233,3.12251438681537,2.85662249066134e-11,"Arhgap30","Rho GTPase activating protein 30","226652","GO:0005096","GTPase activator activity"
"2425","ENSMUSG00000048779",1.76698696741302,2.81338005670166,3.46806667914609e-24,"P2ry6","pyrimidinergic receptor P2Y, G-protein coupled, 6","233571","GO:0004871","signal transducer activity"
"2423","ENSMUSG00000048677",0.996219670861838,2.33753240317428,1.34176081529274e-07,"Tpcn2","two pore segment channel 2","233979","GO:0005216","ion channel activity"
"2397","ENSMUSG00000048120",0.501065973022117,3.93086322362887,8.84916548896352e-05,"Entpd1","ectonucleoside triphosphate diphosphohydrolase 1","12495","GO:0000166","nucleotide binding"
"2375","ENSMUSG00000047735",0.871655717789653,2.96145489756135,0.000726121440978133,"Samd9l","sterile alpha motif domain containing 9-like","209086","GO:0002244","hematopoietic progenitor cell differentiation"
"2360","ENSMUSG00000047407",1.76753527487324,2.34374472442046,5.6049586689714e-28,"Tgif1","TGFB-induced factor homeobox 1","21815","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2351","ENSMUSG00000047205",0.851514797609545,3.22629188578561,5.32117271930463e-09,"Dusp18","dual specificity phosphatase 18","75219","GO:0004721","phosphoprotein phosphatase activity"
"2350","ENSMUSG00000047180",2.11960770105093,1.4414084761192,5.43232178660908e-20,"Neurl3","neuralized E3 ubiquitin protein ligase 3","214854","GO:0005575","cellular_component"
"2328","ENSMUSG00000046688",1.24000817736944,3.45119261191589,1.39075281987414e-12,"Tifa","TRAF-interacting protein with forkhead-associated domain","211550","GO:0005515","protein binding"
"2323","ENSMUSG00000046410",1.61302829103256,3.03626089411107,1.4514457319203e-23,"Kcnk6","potassium inwardly-rectifying channel, subfamily K, member 6","52150","GO:0003073","regulation of systemic arterial blood pressure"
"2300","ENSMUSG00000045817",1.37421173858617,5.45441604493095,6.30444224638838e-23,"Zfp36l2","zinc finger protein 36, C3H type-like 2","12193","GO:0000165","MAPK cascade"
"2298","ENSMUSG00000045679",0.714138065305958,2.31818842155128,6.69879938565418e-05,"Pqlc3","PQ loop repeat containing","217430","GO:0003674","molecular_function"
"2286","ENSMUSG00000045322",1.66066409921996,1.68662898432162,1.01992874581121e-16,"Tlr9","toll-like receptor 9","81897","GO:0001774","microglial cell activation"
"2285","ENSMUSG00000045312",0.502211926433217,5.31280275266212,9.30389137930446e-05,"Lhfpl2","lipoma HMGIC fusion partner-like 2","218454","GO:0003674","molecular_function"
"2280","ENSMUSG00000045205",0.702641521947523,5.58858051724166,1.13270973933979e-07,"Dpy19l4","dpy-19-like 4 (C. elegans)","381510","GO:0000030","mannosyltransferase activity"
"2268","ENSMUSG00000044827",1.9345823378848,1.38965267433937,2.10695984889292e-18,"Tlr1","toll-like receptor 1","21897","GO:0001774","microglial cell activation"
"2267","ENSMUSG00000044811",2.79843579659664,3.53110667023175,1.1282709448385e-59,"Cd300c2","CD300C molecule 2","140497","GO:0002376","immune system process"
"2266","ENSMUSG00000044786",2.59450113460321,4.45660621370501,1.86901660228778e-16,"Zfp36","zinc finger protein 36","22695","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2262","ENSMUSG00000044583",2.90256361901881,3.7616281018817,8.54407723359885e-40,"Tlr7","toll-like receptor 7","170743","GO:0001774","microglial cell activation"
"2259","ENSMUSG00000044468",2.30563356948927,3.75178331740562,1.80144528618228e-46,"Fam46c","family with sequence similarity 46, member C","74645","GO:0003674","molecular_function"
"2258","ENSMUSG00000044456",1.10113598636353,2.52279503547544,1.82074486159762e-07,"Rin3","Ras and Rab interactor 3","217835","GO:0005096","GTPase activator activity"
"2254","ENSMUSG00000044350",0.75233332310243,2.78418382658428,2.69238896167184e-06,"Lacc1","laccase (multicopper oxidoreductase) domain containing 1","210808","GO:0005507","copper ion binding"
"2247","ENSMUSG00000044167",0.873034691449017,4.92211367589699,3.21252111477677e-09,"Foxo1","forkhead box O1","56458","GO:0000989","transcription factor activity, transcription factor binding"
"2235","ENSMUSG00000043953",1.23933049745862,1.49972397445449,1.5412792972351e-10,"Ccrl2","chemokine (C-C motif) receptor-like 2","54199","GO:0004871","signal transducer activity"
"2218","ENSMUSG00000043415",1.55824170238759,3.84657891153133,3.3186751714116e-23,"Otud1","OTU domain containing 1","71198","GO:0004843","thiol-dependent ubiquitin-specific protease activity"
"2214","ENSMUSG00000043279",0.956093913089475,4.38657401014002,4.65126551309906e-07,"Trim56","tripartite motif-containing 56","384309","GO:0002376","immune system process"
"2208","ENSMUSG00000043131",0.572085644879669,5.74787158928239,4.14287128806587e-05,"Mob1a","MOB kinase activator 1A","232157","GO:0005634","nucleus"
"2202","ENSMUSG00000043008",1.78602989873943,2.54705183539363,6.52946460934336e-14,"Klhl6","kelch-like 6","239743","GO:0000976","transcription regulatory region sequence-specific DNA binding"
"2201","ENSMUSG00000042997",0.860635124995753,4.10124240491889,7.15204603246141e-09,"Nhlrc3","NHL repeat containing 3","212114","GO:0003674","molecular_function"
"2187","ENSMUSG00000042759",1.67596795553642,1.50303641005417,3.57555612428776e-20,"Apobr","apolipoprotein B receptor","171504","GO:0005886","plasma membrane"
"2179","ENSMUSG00000042684",0.756464793053589,2.86944767149175,5.3128536730562e-07,"Npl","N-acetylneuraminate pyruvate lyase","74091","GO:0003824","catalytic activity"
"2178","ENSMUSG00000042677",1.98291565367629,1.75629255415412,1.91009195979133e-15,"Zc3h12a","zinc finger CCCH type containing 12A","230738","GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"
"2174","ENSMUSG00000042613",1.49606787616517,7.52434119951563,1.60078629630794e-53,"Pbxip1","pre B cell leukemia transcription factor interacting protein 1","229534","GO:0003674","molecular_function"
"2166","ENSMUSG00000042507",0.903491976630351,4.93308926902942,3.41246392118157e-06,"Elmsan1","ELM2 and Myb/SANT-like domain containing 1","238317","GO:0000118","histone deacetylase complex"
"2159","ENSMUSG00000042396",0.605239783943689,4.66815172606682,5.73741278477126e-07,"Rbm7","RNA binding motif protein 7","67010","GO:0000381","regulation of alternative mRNA splicing, via spliceosome"
"2151","ENSMUSG00000042286",0.504215158144709,3.60556454996898,0.00120330183937076,"Stab1","stabilin 1","192187","GO:0005041","low-density lipoprotein receptor activity"
"2147","ENSMUSG00000042228",1.58781956114837,3.8079624971129,5.63539252094353e-28,"Lyn","LYN proto-oncogene, Src family tyrosine kinase","17096","GO:0000166","nucleotide binding"
"2145","ENSMUSG00000042190",1.56462598052499,2.87909509342295,2.41761636256177e-21,"Cmklr1","chemokine-like receptor 1","14747","GO:0004871","signal transducer activity"
"2139","ENSMUSG00000042082",0.519346719345848,5.21384776657163,0.000557349067373983,"Arsb","arylsulfatase B","11881","GO:0003824","catalytic activity"
"2128","ENSMUSG00000041859",0.690560236892322,2.36989387986991,0.00142006690298082,"Mcm3","minichromosome maintenance complex component 3","17215","GO:0000166","nucleotide binding"
"2127","ENSMUSG00000041849",0.586507002071603,1.51751681461233,0.00427315968700994,"Card6","caspase recruitment domain family, member 6","239319","GO:0003674","molecular_function"
"2123","ENSMUSG00000041797",1.0573451881075,4.16683571870458,1.37075522323147e-10,"Abca9","ATP-binding cassette, sub-family A (ABC1), member 9","217262","GO:0000166","nucleotide binding"
"2121","ENSMUSG00000041779",0.726000894505693,1.60969768471996,0.000187721047940529,"Tram2","translocating chain-associating membrane protein 2","170829","GO:0005515","protein binding"
"2101","ENSMUSG00000041538",1.89975952661777,1.66390544043091,1.20994432687599e-26,"H2-Ob","histocompatibility 2, O region beta locus","15002","GO:0002587","negative regulation of antigen processing and presentation of peptide antigen via MHC class II"
"2100","ENSMUSG00000041515",2.12866324637763,3.93282005237363,1.10790726582553e-34,"Irf8","interferon regulatory factor 8","15900","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"2086","ENSMUSG00000041219",0.606809798062261,3.16523658433585,1.1979938538828e-05,"Arhgap11a","Rho GTPase activating protein 11A","228482","GO:0003674","molecular_function"
"2078","ENSMUSG00000041075",0.719809508667343,3.83529743156572,4.33570427343279e-07,"Fzd7","frizzled class receptor 7","14369","GO:0004871","signal transducer activity"
"2077","ENSMUSG00000040998",1.14684426286694,3.4326900835266,4.2482508117294e-11,"Npnt","nephronectin","114249","GO:0001657","ureteric bud development"
"2070","ENSMUSG00000040848",0.513279738866203,5.8531507731335,1.01496902252967e-06,"Sft2d2","SFT2 domain containing 2","108735","GO:0003674","molecular_function"
"2063","ENSMUSG00000040747",1.83548675176994,4.03302615171974,4.37258322378771e-38,"Cd53","CD53 antigen","12508","GO:0001772","immunological synapse"
"2059","ENSMUSG00000040723",0.668399775802479,3.30680098062356,8.02249429713391e-06,"Rcsd1","RCSD domain containing 1","226594","GO:0005575","cellular_component"
"2048","ENSMUSG00000040663",2.34252101655907,1.82411094211573,7.69880777749194e-22,"Clcf1","cardiotrophin-like cytokine factor 1","56708","GO:0002639","positive regulation of immunoglobulin production"
"2046","ENSMUSG00000040613",2.53816274652467,3.61526161564035,2.00090374244382e-31,"Apobec1","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1","11810","GO:0003729","mRNA binding"
"2043","ENSMUSG00000040552",3.11853596048159,3.44383317365799,3.00365427857948e-38,"C3ar1","complement component 3a receptor 1","12267","GO:0001850","complement component C3a binding"
"2041","ENSMUSG00000040528",3.09062323367498,0.834524687495925,3.84879944061685e-24,"Milr1","mast cell immunoglobulin like receptor 1","380732","GO:0005515","protein binding"
"2038","ENSMUSG00000040483",1.70863161697311,3.90281032906764,5.49349961608966e-16,"Xaf1","XIAP associated factor 1","327959","GO:0005634","nucleus"
"2034","ENSMUSG00000040435",1.25993943708374,4.45950622807338,8.73258141160432e-12,"Ppp1r15a","protein phosphatase 1, regulatory (inhibitor) subunit 15A","17872","GO:0000164","protein phosphatase type 1 complex"
"2025","ENSMUSG00000040296",1.58676146860619,3.75167716398215,3.97776153673031e-11,"Ddx58","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58","230073","GO:0000166","nucleotide binding"
"2023","ENSMUSG00000040272",0.744366653430512,2.7468634051472,1.09311275351552e-05,"Accs","1-aminocyclopropane-1-carboxylate synthase (non-functional)","329470","GO:0003824","catalytic activity"
"2019","ENSMUSG00000040229",0.801108834499435,3.93587299363123,0.000416132908945857,"Gpr34","G protein-coupled receptor 34","23890","GO:0004871","signal transducer activity"
"2017","ENSMUSG00000040212",1.2720176360682,2.8746835153232,2.80135726437089e-07,"Emp3","epithelial membrane protein 3","13732","GO:0005886","plasma membrane"
"2010","ENSMUSG00000040152",1.74576494239952,3.25295018626129,6.47536720207861e-14,"Thbs1","thrombospondin 1","21825","GO:0000187","activation of MAPK activity"
"2003","ENSMUSG00000040061",1.05440342528338,2.07019552486857,2.92716026414e-07,"Plcb2","phospholipase C, beta 2","18796","GO:0001580","detection of chemical stimulus involved in sensory perception of bitter taste"
"1997","ENSMUSG00000039934",0.689615098050009,2.82436816573122,0.000767568594084201,"Gsap","gamma-secretase activating protein","212167","GO:0001540","beta-amyloid binding"
"1971","ENSMUSG00000039480",0.761599132051112,1.57676848499631,3.79109673547897e-05,"Nt5dc1","5'-nucleotidase domain containing 1","319638","GO:0005575","cellular_component"
"1953","ENSMUSG00000039158",0.932911523447506,3.09222942581317,3.65131356757561e-07,"Akna","AT-hook transcription factor","100182","GO:0000978","RNA polymerase II core promoter proximal region sequence-specific DNA binding"
"1952","ENSMUSG00000039153",0.664299555384717,1.00293514559982,0.000625315338592295,"Runx2","runt related transcription factor 2","12393","GO:0000790","nuclear chromatin"
"1939","ENSMUSG00000039013",3.1236081677439,2.66005994030323,7.29281395110724e-45,"Siglecf","sialic acid binding Ig-like lectin F","233186","GO:0007155","cell adhesion"
"1937","ENSMUSG00000039005",1.44356550749706,1.51631767206676,1.24190940691523e-12,"Tlr4","toll-like receptor 4","21898","GO:0000187","activation of MAPK activity"
"1927","ENSMUSG00000038855",1.12292755826919,8.09582310801927,8.31786811933161e-23,"Itpkb","inositol 1,4,5-trisphosphate 3-kinase B","320404","GO:0000165","MAPK cascade"
"1926","ENSMUSG00000038843",1.62380861867022,2.83588649319465,4.0797334957344e-10,"Gcnt1","glucosaminyl (N-acetyl) transferase 1, core 2","14537","GO:0003829","beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity"
"1915","ENSMUSG00000038642",2.27842883659938,8.5343707884951,1.11120108990583e-79,"Ctss","cathepsin S","13040","GO:0001968","fibronectin binding"
"1914","ENSMUSG00000038612",0.952702211880333,6.80580921510865,2.56168930205794e-20,"Mcl1","myeloid cell leukemia sequence 1","17210","GO:0005515","protein binding"
"1903","ENSMUSG00000038507",1.32625184370994,3.9412882548628,2.0711021726306e-11,"Parp12","poly (ADP-ribose) polymerase family, member 12","243771","GO:0003723","RNA binding"
"1896","ENSMUSG00000038418",1.56020279908729,5.56436505648508,2.85593344129366e-06,"Egr1","early growth response 1","13653","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"1894","ENSMUSG00000038393",1.77374848433476,5.45557555908521,1.84385133443099e-24,"Txnip","thioredoxin interacting protein","56338","GO:0000122","negative regulation of transcription from RNA polymerase II promoter"
"1879","ENSMUSG00000038175",0.828509797445854,3.76186121220739,2.57628065005834e-05,"Mylip","myosin regulatory light chain interacting protein","218203","GO:0004842","ubiquitin-protein transferase activity"
"1876","ENSMUSG00000038168",0.864077789644548,1.82783661635339,1.18282579657621e-05,"P3h2","prolyl 3-hydroxylase 2","210530","GO:0005506","iron ion binding"
"1873","ENSMUSG00000038147",3.16409961903563,3.93392664546974,3.56843188469066e-69,"Cd84","CD84 antigen","12523","GO:0002250","adaptive immune response"
