"","X","NA.","logFC","logCPM","PValue","symbol","name","entrez"
"699",719,"ENSMUSG00000041797",1.0573451881075,4.16683571870458,1.37075522323147e-10,"Abca9","ATP-binding cassette, sub-family A (ABC1), member 9",217262
"456",714,"ENSMUSG00000041538",1.89975952661777,1.66390544043091,1.20994432687599e-26,"H2-Ob","histocompatibility 2, O region beta locus",15002
"410",713,"ENSMUSG00000041515",2.12866324637763,3.93282005237363,1.10790726582553e-34,"Irf8","interferon regulatory factor 8",15900
"305",706,"ENSMUSG00000040998",1.14684426286694,3.4326900835266,4.2482508117294e-11,"Npnt","nephronectin",114249
"652",704,"ENSMUSG00000040747",1.83548675176994,4.03302615171974,4.37258322378771e-38,"Cd53","CD53 antigen",12508
"677",698,"ENSMUSG00000040663",2.34252101655907,1.82411094211573,7.69880777749194e-22,"Clcf1","cardiotrophin-like cytokine factor 1",56708
"714",697,"ENSMUSG00000040613",2.53816274652467,3.61526161564035,2.00090374244382e-31,"Apobec1","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1",11810
"610",695,"ENSMUSG00000040552",3.11853596048159,3.44383317365799,3.00365427857948e-38,"C3ar1","complement component 3a receptor 1",12267
"344",694,"ENSMUSG00000040528",3.09062323367498,0.834524687495925,3.84879944061685e-24,"Milr1","mast cell immunoglobulin like receptor 1",380732
"7",693,"ENSMUSG00000040483",1.70863161697311,3.90281032906764,5.49349961608966e-16,"Xaf1","XIAP associated factor 1",327959
"220",692,"ENSMUSG00000040435",1.25993943708374,4.45950622807338,8.73258141160432e-12,"Ppp1r15a","protein phosphatase 1, regulatory (inhibitor) subunit 15A",17872
"586",690,"ENSMUSG00000040296",1.58676146860619,3.75167716398215,3.97776153673031e-11,"Ddx58","DEAD (Asp-Glu-Ala-Asp) box polypeptide 58",230073
"483",689,"ENSMUSG00000040253",1.26412765839711,3.10318247678936,4.03647888055654e-05,"Gbp7","guanylate binding protein 7",229900
"556",688,"ENSMUSG00000040212",1.2720176360682,2.8746835153232,2.80135726437089e-07,"Emp3","epithelial membrane protein 3",13732
"84",685,"ENSMUSG00000040152",1.74576494239952,3.25295018626129,6.47536720207861e-14,"Thbs1","thrombospondin 1",21825
"690",684,"ENSMUSG00000040093",1.0390426504065,3.02659588823695,5.730307765259e-15,"Bmf","BCL2 modifying factor",171543
"256",683,"ENSMUSG00000040061",1.05440342528338,2.07019552486857,2.92716026414e-07,"Plcb2","phospholipase C, beta 2",18796
"141",668,"ENSMUSG00000039013",3.1236081677439,2.66005994030323,7.29281395110724e-45,"Siglecf","sialic acid binding Ig-like lectin F",233186
"73",667,"ENSMUSG00000039005",1.44356550749706,1.51631767206676,1.24190940691523e-12,"Tlr4","toll-like receptor 4",21898
"499",665,"ENSMUSG00000038843",1.62380861867022,2.83588649319465,4.0797334957344e-10,"Gcnt1","glucosaminyl (N-acetyl) transferase 1, core 2",14537
"670",662,"ENSMUSG00000038642",2.27842883659938,8.5343707884951,1.11120108990583e-79,"Ctss","cathepsin S",13040
"246",658,"ENSMUSG00000038507",1.32625184370994,3.9412882548628,2.0711021726306e-11,"Parp12","poly (ADP-ribose) polymerase family, member 12",243771
"565",657,"ENSMUSG00000038418",1.56020279908729,5.56436505648508,2.85593344129366e-06,"Egr1","early growth response 1",13653
"85",656,"ENSMUSG00000038393",1.77374848433476,5.45557555908521,1.84385133443099e-24,"Txnip","thioredoxin interacting protein",56338
"648",651,"ENSMUSG00000038147",3.16409961903563,3.93392664546974,3.56843188469066e-69,"Cd84","CD84 antigen",12523
"585",648,"ENSMUSG00000037921",2.78833555754021,1.314471785453,4.45812013088242e-09,"Ddx60","DEAD (Asp-Glu-Ala-Asp) box polypeptide 60",234311
"564",647,"ENSMUSG00000037868",2.40479245201989,1.30329028639832,1.4988684692664e-15,"Egr2","early growth response 2",13654
"743",646,"ENSMUSG00000037860",1.90751870096814,2.00848342188975,1.16127794545338e-10,"Aim2","absent in melanoma 2",383619
"80",645,"ENSMUSG00000037731",1.83193932281395,1.6109941264286,1.39362916363311e-14,"Themis2","thymocyte selection associated family member 2",230787
"151",636,"ENSMUSG00000037411",3.78712091403331,2.81485366037449,1.13315251652909e-20,"Serpine1","serine (or cysteine) peptidase inhibitor, clade E, member 1",18787
"423",635,"ENSMUSG00000037405",1.91642260736196,2.64202091721716,2.78600449567584e-20,"Icam1","intercellular adhesion molecule 1",15894
"48",633,"ENSMUSG00000037321",1.9112363512599,2.90900063145705,2.69410008563826e-13,"Tap1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",21354
"68",632,"ENSMUSG00000037318",1.11138569133672,0.573496055912235,0.000261182606443515,"Traf3ip3","TRAF3 interacting protein 3",215243
"26",629,"ENSMUSG00000036908",1.48444410344667,4.92043801832365,9.25541864273966e-27,"Unc93b1","unc-93 homolog B1 (C. elegans)",54445
"615",628,"ENSMUSG00000036905",2.77602414885082,6.76086202286499,1.20701325011599e-81,"C1qb","complement component 1, q subcomponent, beta polypeptide",12260
"614",627,"ENSMUSG00000036896",2.88971029194741,6.62003420360586,2.60757123297958e-101,"C1qc","complement component 1, q subcomponent, C chain",12262
"616",626,"ENSMUSG00000036887",3.08668182156609,7.59926208647648,4.20712398870467e-98,"C1qa","complement component 1, q subcomponent, alpha polypeptide",12259
"273",623,"ENSMUSG00000036833",1.82294224882415,5.05321968276801,4.36568633870786e-30,"Pnpla7","patatin-like phospholipase domain containing 7",241274
"491",609,"ENSMUSG00000035778",1.62327246966364,2.94915388547672,3.00488866858814e-13,"Ggta1","glycoprotein galactosyltransferase alpha 1, 3",14594
"185",607,"ENSMUSG00000035697",1.2682247104849,3.78892246758164,2.86704053904969e-11,"Arhgap45","Rho GTPase activating protein 45",70719
"63",598,"ENSMUSG00000035493",1.04210995886899,4.21742845801696,5.0177656529061e-08,"Tgfbi","transforming growth factor, beta induced",21810
"285",596,"ENSMUSG00000035356",1.07642095976765,3.09313195541137,4.54893003634694e-11,"Nfkbiz","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, zeta",80859
"160",594,"ENSMUSG00000035208",2.29635586374462,1.22477021924863,7.97375148227009e-10,"Slfn8","schlafen 8",276950
"435",591,"ENSMUSG00000035004",2.74072984861742,2.41746309269326,5.97166787770346e-26,"Igsf6","immunoglobulin superfamily, member 6",80719
"668",590,"ENSMUSG00000034957",1.73479646038233,4.51354898167362,8.76225200615969e-27,"Cebpa","CCAAT/enhancer binding protein (C/EBP), alpha",12606
"55",589,"ENSMUSG00000034947",1.95058360499461,1.78151049758474,2.74611957480937e-22,"Tmem106a","transmembrane protein 106A",217203
"638",584,"ENSMUSG00000034855",4.71941003193406,2.3098768733509,2.96436755296101e-20,"Cxcl10","chemokine (C-X-C motif) ligand 10",15945
"487",579,"ENSMUSG00000034708",2.16473419015669,6.96647021391491,2.3619363699774e-95,"Grn","granulin",14824
"660",578,"ENSMUSG00000034652",2.42189103884567,1.5096400913976,1.6821015130718e-27,"Cd300a","CD300A molecule",217303
"219",577,"ENSMUSG00000034595",1.34252969415501,3.78800591136042,4.02289433027703e-20,"Ppp1r18","protein phosphatase 1, regulatory subunit 18",76448
"245",573,"ENSMUSG00000034422",1.88214186520461,3.19551432852355,4.38720697199941e-10,"Parp14","poly (ADP-ribose) polymerase family, member 14",547253
"17",567,"ENSMUSG00000034116",1.76168710905341,3.37664680559307,5.93202906992095e-19,"Vav1","vav 1 oncogene",22324
"75",562,"ENSMUSG00000033777",2.01338812739805,3.49255649948815,1.52838010741601e-37,"Tlr13","toll-like receptor 13",279572
"25",561,"ENSMUSG00000033685",1.83430028787121,7.02088689887407,3.03104217546533e-40,"Ucp2","uncoupling protein 2 (mitochondrial, proton carrier)",22228
"92",559,"ENSMUSG00000033450",2.62494260086424,1.6005953789518,1.08569495898072e-09,"Tagap","T cell activation Rho GTPase activating protein",72536
"532",558,"ENSMUSG00000033386",1.09987324651366,1.95865970450774,8.3061210611156e-08,"Frrs1","ferric-chelate reductase 1",20321
"198",556,"ENSMUSG00000033220",1.51212367836189,3.01120922722309,3.48956077898969e-13,"Rac2","RAS-related C3 botulinum substrate 2",19354
"288",545,"ENSMUSG00000032691",1.01706277985754,0.859289042049166,1.58174332603345e-06,"Nlrp3","NLR family, pyrin domain containing 3",216799
"598",541,"ENSMUSG00000032515",2.20276990195518,4.09125671023036,8.47675769185157e-13,"Csrnp1","cysteine-serine-rich nuclear protein 1",215418
"47",540,"ENSMUSG00000032501",1.27745682701543,4.08452782760408,5.40223687451801e-25,"Trib1","tribbles pseudokinase 1",211770
"672",535,"ENSMUSG00000032359",1.5889349489613,5.2990717083358,6.12128989369611e-27,"Ctsh","cathepsin H",13036
"400",529,"ENSMUSG00000032089",1.42969618943331,3.80738012985921,4.95842079789147e-17,"Il10ra","interleukin 10 receptor, alpha",16154
"693",524,"ENSMUSG00000032000",1.636790560834,2.09104387231078,1.30395254125693e-10,"Birc3","baculoviral IAP repeat-containing 3",11796
"628",518,"ENSMUSG00000031875",1.29946833644366,3.50034013095984,2.00569528383249e-11,"Cmtm3","CKLF-like MARVEL transmembrane domain containing 3",68119
"418",517,"ENSMUSG00000031838",1.80198378206077,3.35763206408831,3.54163582840137e-32,"Ifi30","interferon gamma inducible protein 30",65972
"441",510,"ENSMUSG00000031613",2.0176603266327,4.36601590969845,1.11256490181162e-21,"Hpgd","hydroxyprostaglandin dehydrogenase 15 (NAD)",15446
"192",504,"ENSMUSG00000031387",1.55550168651065,3.24430235446473,4.05019346349269e-27,"Renbp","renin binding protein",19703
"687",500,"ENSMUSG00000031264",1.50336139936861,1.83234910304632,2.7453367354967e-10,"Btk","Bruton agammaglobulinemia tyrosine kinase",12229
"171",497,"ENSMUSG00000031167",1.60346528297791,5.77087617236467,1.35745272126917e-20,"Rbm3","RNA binding motif protein 3",19652
"9",496,"ENSMUSG00000031165",1.71392902415623,1.84618374400945,1.5031550931012e-20,"Was","Wiskott-Aldrich syndrome",22376
"566",493,"ENSMUSG00000031103",1.99163881396795,1.79131257245414,1.27163871620713e-21,"Elf4","E74-like factor 4 (ets domain transcription factor)",56501
"42",487,"ENSMUSG00000030921",2.49023656196343,3.11637896064045,3.14681087838043e-21,"Trim30a","tripartite motif-containing 30A",20128
"656",485,"ENSMUSG00000030798",1.786623882162,2.93686659008057,1.88536658396148e-25,"Cd37","CD37 antigen",12493
"312",480,"ENSMUSG00000030761",1.28639693190001,1.83774669771454,6.54739379979065e-09,"Myo7a","myosin VIIA",17921
"397",478,"ENSMUSG00000030745",2.42890502268716,1.50984970502632,1.69715409613885e-26,"Il21r","interleukin 21 receptor",60504
"33",472,"ENSMUSG00000030579",2.42051651456606,5.49389644604233,9.94458828627924e-49,"Tyrobp","TYRO protein tyrosine kinase binding protein",22177
"675",470,"ENSMUSG00000030560",1.23505810793011,4.16381389396342,9.73513306573001e-18,"Ctsc","cathepsin C",13032
"355",461,"ENSMUSG00000030263",1.61988618985676,1.69782218978356,2.64629511011005e-09,"Lrmp","lymphoid-restricted membrane protein",16970
"183",460,"ENSMUSG00000030220",1.27094770478187,3.56558802762479,1.73464491896273e-13,"Arhgdib","Rho, GDP dissociation inhibitor (GDI) beta",11857
"606",458,"ENSMUSG00000030148",1.22413834159562,0.803844211976565,6.08283156310197e-10,"Clec4a2","C-type lectin domain family 4, member a2",26888
"356",457,"ENSMUSG00000030124",3.23204760685037,4.08076106904668,6.73287089669608e-64,"Lag3","lymphocyte-activation gene 3",16768
"188",451,"ENSMUSG00000030047",2.07254312839702,2.67109222807222,1.62779678870959e-26,"Arhgap25","Rho GTPase activating protein 25",232201
"81",450,"ENSMUSG00000029925",1.63718766745676,2.22454152877414,6.47358337814283e-09,"Tbxas1","thromboxane A synthase 1, platelet",21391
"474",449,"ENSMUSG00000029919",1.4555573015307,3.2845413162773,4.4323275594227e-10,"Hpgds","hematopoietic prostaglandin D synthase",54486
"605",448,"ENSMUSG00000029915",1.59179985074208,2.0312210154155,1.90147780578937e-14,"Clec5a","C-type lectin domain family 5, member a",23845
"4",446,"ENSMUSG00000029826",1.38208586204474,3.91771919945224,7.30906917292129e-18,"Zc3hav1","zinc finger CCCH type, antiviral 1",78781
"52",444,"ENSMUSG00000029810",1.87339926955242,6.71540404152246,1.05111599776037e-63,"Tmem176b","transmembrane protein 176B",65963
"476",443,"ENSMUSG00000029798",1.82335668805724,3.07962732053982,2.66790979266375e-14,"Herc6","hect domain and RLD 6",67138
"412",442,"ENSMUSG00000029771",1.83605759439932,3.30955983688099,1.34539589687279e-31,"Irf5","interferon regulatory factor 5",27056
"723",439,"ENSMUSG00000029695",1.58497192412229,2.93722832977545,8.29869945611036e-12,"Aass","aminoadipate-semialdehyde synthase",30956
"717",431,"ENSMUSG00000029484",1.71567902591737,4.75774689111555,1.62388948485722e-21,"Anxa3","annexin A3",11745
"203",426,"ENSMUSG00000029204",1.39562910362539,0.931356558841366,2.01015150239989e-08,"Rhoh","ras homolog family member H",74734
"515",425,"ENSMUSG00000029135",1.52397882295003,4.10834129092766,3.29349465727373e-15,"Fosl2","fos-like antigen 2",14284
"617",416,"ENSMUSG00000028859",1.71901184899914,4.0636875257894,4.08813114323544e-27,"Csf3r","colony stimulating factor 3 receptor (granulocyte)",12986
"36",414,"ENSMUSG00000028599",1.49811027764158,3.43528761524995,8.15623728652623e-16,"Tnfrsf1b","tumor necrosis factor receptor superfamily, member 1b",21938
"352",412,"ENSMUSG00000028581",1.87227557186618,6.33639143004467,8.53568076227159e-57,"Laptm5","lysosomal-associated protein transmembrane 5",16792
"28",407,"ENSMUSG00000028413",1.79690767394285,3.72607666257392,8.43080268790429e-27,"B4galt1","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",14595
"38",406,"ENSMUSG00000028362",2.59169204017465,0.928321972719148,2.01307575252352e-10,"Tnfsf8","tumor necrosis factor (ligand) superfamily, member 8",21949
"484",404,"ENSMUSG00000028268",2.06646044140843,3.23361881902401,8.37555447852816e-11,"Gbp3","guanylate binding protein 3",55932
"64",403,"ENSMUSG00000028211",1.10444157170487,4.63196948044722,1.92298901022861e-11,"Trp53inp1","transformation related protein 53 inducible nuclear protein 1",60599
"74",395,"ENSMUSG00000027995",2.67527749210197,3.84014842531645,3.71942265277966e-47,"Tlr2","toll-like receptor 2",24088
"395",394,"ENSMUSG00000027947",1.66570206947974,3.82179594750203,3.35964717129616e-21,"Il6ra","interleukin 6 receptor, alpha",16194
"166",393,"ENSMUSG00000027907",1.66034197900983,2.04438731302675,6.27021460724236e-18,"S100a11","S100 calcium binding protein A11",20195
"94",392,"ENSMUSG00000027882",1.23474423333065,6.04963533362262,6.59227400593641e-16,"Stxbp3","syntaxin binding protein 3",20912
"282",391,"ENSMUSG00000027848",1.27215608509527,5.02387063114257,3.39134792051729e-21,"Olfml3","olfactomedin-like 3",99543
"402",380,"ENSMUSG00000027399",1.23635389707368,0.570185859203263,1.65911314436879e-06,"Il1a","interleukin 1 alpha",16175
"122",373,"ENSMUSG00000027074",3.54160579402179,2.57604104445841,2.25164355009938e-26,"Slc43a3","solute carrier family 43, member 3",58207
"115",372,"ENSMUSG00000027007",1.07130197843843,7.23503256873293,1.74017478268307e-17,"Ssfa2","sperm specific antigen 2",70599
"414",368,"ENSMUSG00000026896",1.93369686143856,2.91542429317763,2.67185230008515e-13,"Ifih1","interferon induced with helicase C domain 1",71586
"721",366,"ENSMUSG00000026786",1.44276555543052,3.04505860172509,6.49736406459701e-11,"Apbb1ip","amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein",54519
"537",359,"ENSMUSG00000026656",1.41927727902817,2.36386996892864,8.17193276319358e-12,"Fcgr2b","Fc receptor, IgG, low affinity IIb",14130
"296",352,"ENSMUSG00000026480",1.68081900825357,3.5139209014621,1.54110307771847e-26,"Ncf2","neutrophil cytosolic factor 2",17970
"216",344,"ENSMUSG00000026395",2.19903246090259,3.72970874044563,2.63268881068244e-28,"Ptprc","protein tyrosine phosphatase, receptor type, C",19264
"195",342,"ENSMUSG00000026358",5.15620673710955,1.35067976535032,1.68596756034574e-39,"Rgs1","regulator of G-protein signaling 1",50778
"338",340,"ENSMUSG00000026303",1.5295597542463,2.87207331319255,1.7144703581187e-12,"Mlph","melanophilin",171531
"432",339,"ENSMUSG00000026288",1.6701606299024,4.69137134091686,8.19050310195867e-28,"Inpp5d","inositol polyphosphate-5-phosphatase D",16331
"509",337,"ENSMUSG00000026271",1.5898992295048,0.654783090069856,4.59119853188076e-11,"Gpr35","G protein-coupled receptor 35",64095
"135",333,"ENSMUSG00000026177",2.56274831153457,3.41206632509968,1.32050894911307e-54,"Slc11a1","solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",18173
"438",329,"ENSMUSG00000025997",1.26221599532723,2.45868548343413,1.84481217974624e-09,"Ikzf2","IKAROS family zinc finger 2",22779
"146",327,"ENSMUSG00000025915",2.28368612338518,6.00183743708331,3.54190906095084e-15,"Sgk3","serum/glucocorticoid regulated kinase 3",170755
"462",324,"ENSMUSG00000025877",1.35774511583912,1.40404910629888,2.20471908060218e-09,"Hk3","hexokinase 3",212032
"707",321,"ENSMUSG00000025701",1.23801013182239,1.76873132923405,6.96595491246699e-09,"Alox5","arachidonate 5-lipoxygenase",11689
